cpu name =I7_5960X based on Haswell micro arch - Haswell-E decline - 4th generation Intel Core
 colidx: add:              6329472 size:           3042000084
 a: add:          15246329968 size:           6084000168
 x: add:          21330330136 size:             12000016
 z: add:          21342330152 size:             12000016
 p: add:          21354330168 size:             12000016
 r: add:          21378330200 size:             12000016
 q: add:          21366330184 size:             12000016
loc(sm) = 0x4fd980e00	loc(add)=0x7fff01979948


 NAS Parallel Benchmarks 3.3 -- CG Benchmark

 Size:    1500000
 Iterations:   100
 Number of active processes:     1
 Number of nonzeroes per row:       21
 Eigenvalue shift: .500E+03
 sampling_check =            0
 sampling_check =            1
 Phase 1: 
loc(sm) = 0x4fd980e00

Starting memory sampling
fd_per_tid = 13
measure->nb_threads=1
33333333fd_per_tid = 13
sm = 0x4fd980e00
stop loc(add)0x4fd980e00

Memory read sampling results
pc=402942, @=140733220095368, src level=L1 Hit, latency=150
pc=402936, @=15306852248, src level=LFB Hit, latency=213
pc=402942, @=140733220095368, src level=L1 Hit, latency=125
pc=402936, @=15307551280, src level=LFB Hit, latency=174
pc=402936, @=15307910024, src level=LFB Hit, latency=96
pc=40293c, @=21355929048, src level=L3 Hit, latency=54
pc=402942, @=140733220095368, src level=L1 Hit, latency=125
pc=402942, @=140733220095368, src level=L1 Hit, latency=385
pc=40293c, @=21358722128, src level=L3 Hit, latency=51
pc=402936, @=15309638680, src level=LFB Hit, latency=171
pc=40293c, @=21355673296, src level=L3 Hit, latency=84
pc=402936, @=15310357960, src level=LFB Hit, latency=308
pc=402936, @=15310703152, src level=LFB Hit, latency=235
pc=402942, @=140733220095368, src level=L1 Hit, latency=354
pc=402942, @=140733220095368, src level=L1 Hit, latency=151
pc=402942, @=140733220095368, src level=L1 Hit, latency=270
pc=40293c, @=21356830648, src level=L3 Hit, latency=73
pc=40293c, @=21357919104, src level=L3 Hit, latency=60
pc=402942, @=140733220095368, src level=L1 Hit, latency=149
pc=402942, @=140733220095368, src level=L1 Hit, latency=217
pc=402942, @=140733220095368, src level=L1 Hit, latency=949
pc=402936, @=15313793592, src level=LFB Hit, latency=168
pc=402942, @=140733220095368, src level=L1 Hit, latency=122
pc=40293c, @=21356830472, src level=L3 Hit, latency=40
pc=40293c, @=21364784216, src level=L3 Hit, latency=38
pc=402936, @=15315141264, src level=LFB Hit, latency=189
pc=402936, @=15315483696, src level=LFB Hit, latency=163
pc=40293c, @=21361651480, src level=L3 Hit, latency=38
pc=402936, @=15316192592, src level=LFB Hit, latency=27
pc=40293c, @=21357864200, src level=L3 Hit, latency=41
pc=40293c, @=21364052400, src level=L3 Hit, latency=62
pc=402936, @=15317276240, src level=LFB Hit, latency=82
pc=402942, @=140733220095368, src level=L1 Hit, latency=146
pc=40293c, @=21364181736, src level=L3 Hit, latency=43
pc=402942, @=140733220095368, src level=L1 Hit, latency=241
pc=402942, @=140733220095368, src level=L1 Hit, latency=187
pc=402942, @=140733220095368, src level=L1 Hit, latency=455
pc=40293c, @=21355328536, src level=L3 Hit, latency=36
pc=402942, @=140733220095368, src level=L1 Hit, latency=143
pc=402936, @=15320057240, src level=LFB Hit, latency=37
pc=40293c, @=21360141640, src level=L3 Hit, latency=49
pc=40293c, @=21360405432, src level=L3 Hit, latency=44
pc=40293c, @=21364891504, src level=L3 Hit, latency=42
pc=402942, @=140733220095368, src level=L1 Hit, latency=416
pc=40293c, @=21364412264, src level=L3 Hit, latency=38
