cpu name =I7_5960X based on Haswell micro arch - Haswell-E decline - 4th generation Intel Core
 colidx: add:              6329472 size:           3042000084
 a: add:          15246329968 size:           6084000168
 x: add:          21330330136 size:             12000016
 z: add:          21342330152 size:             12000016
 p: add:          21354330168 size:             12000016
 r: add:          21378330200 size:             12000016
 q: add:          21366330184 size:             12000016
loc(sm) = 0x4fd694e20	loc(add)=0x7ffcc49631a8


 NAS Parallel Benchmarks 3.3 -- CG Benchmark

 Size:    1500000
 Iterations:   100
 Number of active processes:     1
 Number of nonzeroes per row:       21
 Eigenvalue shift: .500E+03
 sampling_check =            0
 sampling_check =            1
 Phase 1: 
loc(sm) = 0x4fd694e20

Starting memory sampling
fd_per_tid = 13
measure->nb_threads=1
33333333fd_per_tid = 13
sm = 0x4fd694e20
stop loc(add)0x4fd694e20

Memory read sampling results
pc=402942, @=140723606658536, src level=L1 Hit, latency=141
pc=402936, @=15358628216, src level=LFB Hit, latency=115
pc=40293c, @=21362894672, src level=L3 Hit, latency=44
pc=402942, @=140723606658536, src level=L1 Hit, latency=196
pc=402942, @=140723606658536, src level=L1 Hit, latency=290
pc=402936, @=15360122824, src level=LFB Hit, latency=168
pc=402942, @=140723606658536, src level=L1 Hit, latency=83
pc=40293c, @=21365008768, src level=L3 Hit, latency=53
pc=402942, @=140723606658536, src level=L1 Hit, latency=240
pc=402936, @=15361647384, src level=LFB Hit, latency=259
pc=402942, @=140723606658536, src level=L1 Hit, latency=176
pc=402942, @=140723606658536, src level=L1 Hit, latency=143
pc=402942, @=140723606658536, src level=L1 Hit, latency=415
pc=402936, @=15363182400, src level=LFB Hit, latency=193
pc=402942, @=140723606658536, src level=L1 Hit, latency=545
pc=402942, @=140723606658536, src level=L1 Hit, latency=353
pc=402942, @=140723606658536, src level=L1 Hit, latency=317
pc=402936, @=15364701160, src level=LFB Hit, latency=142
pc=402942, @=140723606658536, src level=L1 Hit, latency=291
pc=402936, @=15365470608, src level=LFB Hit, latency=73
pc=402936, @=15365853024, src level=LFB Hit, latency=337
pc=40293c, @=21358372680, src level=L3 Hit, latency=44
pc=402932, @=66478656, src level=LFB Hit, latency=423
pc=40293c, @=21365324520, src level=L3 Hit, latency=53
pc=402942, @=140723606658536, src level=L1 Hit, latency=369
pc=40293c, @=21362217728, src level=L3 Hit, latency=44
pc=402942, @=140723606658536, src level=L1 Hit, latency=160
pc=402942, @=140723606658536, src level=L1 Hit, latency=294
pc=402936, @=15368924968, src level=LFB Hit, latency=67
pc=402936, @=15369298120, src level=LFB Hit, latency=142
pc=40293c, @=21361967984, src level=L3 Hit, latency=43
pc=402942, @=140723606658536, src level=L1 Hit, latency=138
pc=402942, @=140723606658536, src level=L1 Hit, latency=167
pc=402936, @=15370830120, src level=LFB Hit, latency=71
pc=402942, @=140723606658536, src level=L1 Hit, latency=226
pc=40293c, @=21364140136, src level=L3 Hit, latency=54
pc=40293c, @=21362928256, src level=L3 Hit, latency=54
pc=40293c, @=21355423536, src level=L3 Hit, latency=56
pc=402942, @=140723606658536, src level=L1 Hit, latency=127
pc=40293c, @=21361225824, src level=Remote RAM 1 hop Hit, latency=62
pc=402936, @=15373433720, src level=LFB Hit, latency=91
pc=402942, @=140723606658536, src level=L1 Hit, latency=267
pc=402932, @=70254728, src level=Remote RAM 1 hop Hit, latency=416
pc=402936, @=15374553856, src level=LFB Hit, latency=161
pc=40293c, @=21357806704, src level=L3 Hit, latency=48
pc=402942, @=140723606658536, src level=L1 Hit, latency=370
pc=402936, @=15375701048, src level=LFB Hit, latency=78
pc=402942, @=140723606658536, src level=L1 Hit, latency=387
pc=402942, @=140723606658536, src level=L1 Hit, latency=133
pc=402936, @=15376869392, src level=LFB Hit, latency=169
pc=402942, @=140723606658536, src level=L1 Hit, latency=140
pc=40293c, @=21365560688, src level=L3 Hit, latency=45
pc=402936, @=15378035488, src level=LFB Hit, latency=185
pc=40293c, @=21355986368, src level=L3 Hit, latency=49
pc=402942, @=140723606658536, src level=L1 Hit, latency=152
pc=402942, @=140723606658536, src level=L1 Hit, latency=391
pc=40293c, @=21361655920, src level=L3 Hit, latency=91
pc=40293c, @=21357278064, src level=L3 Hit, latency=53
pc=402942, @=140723606658536, src level=L1 Hit, latency=166
pc=40293c, @=21355749240, src level=L3 Hit, latency=45
pc=40293c, @=21358349128, src level=L3 Hit, latency=65
pc=402942, @=140723606658536, src level=L1 Hit, latency=167
pc=40293c, @=21364667112, src level=L3 Hit, latency=43
pc=402942, @=140723606658536, src level=L1 Hit, latency=149
pc=40293c, @=21359803528, src level=L3 Hit, latency=69
pc=402942, @=140723606658536, src level=L1 Hit, latency=291
pc=402942, @=140723606658536, src level=L1 Hit, latency=183
pc=40293c, @=21357024096, src level=L3 Hit, latency=72
pc=40293c, @=21365015944, src level=L3 Hit, latency=81
pc=40293c, @=21363010752, src level=L3 Hit, latency=53
pc=402942, @=140723606658536, src level=L1 Hit, latency=188
pc=40293c, @=21359995200, src level=L3 Hit, latency=56
pc=402936, @=15385469960, src level=LFB Hit, latency=357
pc=40293c, @=21360776504, src level=L3 Hit, latency=53
pc=402936, @=15386242872, src level=LFB Hit, latency=145
pc=402942, @=140723606658536, src level=L1 Hit, latency=495
pc=40293c, @=21365876104, src level=L3 Hit, latency=56
pc=402942, @=140723606658536, src level=L1 Hit, latency=130
pc=40293c, @=21359113376, src level=L3 Hit, latency=52
pc=402936, @=15388123832, src level=LFB Hit, latency=230
pc=402942, @=140723606658536, src level=L1 Hit, latency=355
pc=402942, @=140723606658536, src level=L1 Hit, latency=274
pc=40293c, @=21364458200, src level=L3 Hit, latency=48
pc=402942, @=140723606658536, src level=L1 Hit, latency=234
pc=402942, @=140723606658536, src level=L1 Hit, latency=134
pc=40293c, @=21358665552, src level=L3 Hit, latency=89
pc=40293c, @=21363259152, src level=L3 Hit, latency=56
pc=402936, @=15391139776, src level=Local RAM Hit, latency=242
pc=402942, @=140723606658536, src level=L1 Hit, latency=159
pc=402936, @=15391947664, src level=LFB Hit, latency=44
pc=402942, @=140723606658536, src level=L1 Hit, latency=154
pc=402942, @=140723606658536, src level=L1 Hit, latency=324
pc=402942, @=140723606658536, src level=L1 Hit, latency=128
pc=402942, @=140723606658536, src level=L1 Hit, latency=149
pc=402936, @=15393907896, src level=LFB Hit, latency=123
pc=402936, @=15394293232, src level=LFB Hit, latency=144
pc=402942, @=140723606658536, src level=L1 Hit, latency=137
pc=402936, @=15395060928, src level=LFB Hit, latency=96
pc=402942, @=140723606658536, src level=L1 Hit, latency=159
pc=402936, @=15395816192, src level=LFB Hit, latency=205
pc=40293c, @=21357485584, src level=L3 Hit, latency=58
pc=40293c, @=21356557664, src level=L3 Hit, latency=112
pc=40293c, @=21357566152, src level=L3 Hit, latency=46
pc=402942, @=140723606658536, src level=L1 Hit, latency=207
pc=40293c, @=21357017776, src level=L3 Hit, latency=58
pc=402936, @=15398085248, src level=LFB Hit, latency=217
pc=402942, @=140723606658536, src level=L1 Hit, latency=173
pc=40293c, @=21358453776, src level=Remote RAM 1 hop Hit, latency=51
pc=402942, @=140723606658536, src level=L1 Hit, latency=137
pc=402942, @=140723606658536, src level=L1 Hit, latency=334
pc=402936, @=15399996088, src level=LFB Hit, latency=113
pc=40293c, @=21365623944, src level=L3 Hit, latency=54
pc=40293c, @=21362872384, src level=L3 Hit, latency=58
pc=402942, @=140723606658536, src level=L1 Hit, latency=149
pc=402942, @=140723606658536, src level=L1 Hit, latency=360
pc=402936, @=15401875272, src level=LFB Hit, latency=414
pc=402942, @=140723606658536, src level=L1 Hit, latency=152
pc=40293c, @=21361733568, src level=L3 Hit, latency=55
pc=402942, @=140723606658536, src level=L1 Hit, latency=155
pc=40293c, @=21358651888, src level=L3 Hit, latency=53
pc=402936, @=15403749752, src level=LFB Hit, latency=195
pc=402932, @=85220756, src level=LFB Hit, latency=214
pc=40293c, @=21363954432, src level=L3 Hit, latency=52
pc=402942, @=140723606658536, src level=L1 Hit, latency=345
pc=402932, @=85783520, src level=LFB Hit, latency=289
pc=40293c, @=21357493264, src level=L3 Hit, latency=48
pc=402942, @=140723606658536, src level=L1 Hit, latency=498
pc=40293c, @=21359771856, src level=L3 Hit, latency=55
pc=402942, @=140723606658536, src level=L1 Hit, latency=351
pc=402942, @=140723606658536, src level=L1 Hit, latency=1235
pc=402936, @=15407502592, src level=LFB Hit, latency=248
pc=40293c, @=21358965072, src level=L3 Hit, latency=58
pc=402936, @=15408265808, src level=LFB Hit, latency=135
pc=402942, @=140723606658536, src level=L1 Hit, latency=168
pc=40293c, @=21365389568, src level=L3 Hit, latency=63
pc=402942, @=140723606658536, src level=L1 Hit, latency=284
pc=402936, @=15409789208, src level=LFB Hit, latency=177
