cpu name =I7_5960X based on Haswell micro arch - Haswell-E decline - 4th generation Intel Core
 colidx: add:              6329472 size:            163800060
 a: add:            828329824 size:            327600120
 x: add:           1155929944 size:              1200016
 z: add:           1157129960 size:              1200016
 p: add:           1158329976 size:              1200016
 r: add:           1160730008 size:              1200016
 q: add:           1159529992 size:              1200016
loc(sm) = 0x45853e00	loc(add)=0x7ffd0d3c10a8


 NAS Parallel Benchmarks 3.3 -- CG Benchmark

 Size:     150000
 Iterations:    75
 Number of active processes:     1
 Number of nonzeroes per row:       15
 Eigenvalue shift: .110E+03
 sampling_check =            0
 sampling_check =            1
 Phase 1: 
loc(sm) = 0x45853e00

Starting memory sampling
fd_per_tid = 13
measure->nb_threads=1
33333333fd_per_tid = 13
sm = 0x45853e00
stop loc(add)0x45853e00

Memory read sampling results
pc=402942, @=140724825488616, src level=L1 Hit, latency=208
pc=40293c, @=1159251544, src level=L3 Hit, latency=49
pc=402942, @=140724825488616, src level=L1 Hit, latency=242
pc=402942, @=140724825488616, src level=L1 Hit, latency=152
pc=40293c, @=1158929192, src level=L3 Hit, latency=45
pc=40293c, @=1159001936, src level=L3 Hit, latency=52
pc=402942, @=140724825488616, src level=L1 Hit, latency=154
pc=40293c, @=1159379736, src level=L3 Hit, latency=36
pc=402936, @=910625008, src level=LFB Hit, latency=38
pc=40293c, @=1158533464, src level=L3 Hit, latency=49
pc=40293c, @=1159145128, src level=L3 Hit, latency=45
pc=402932, @=48057920, src level=Local RAM Hit, latency=218
pc=402936, @=912162200, src level=LFB Hit, latency=186
pc=402942, @=140724825488616, src level=L1 Hit, latency=209
pc=40293c, @=1159018360, src level=L3 Hit, latency=68
pc=40293c, @=1158428192, src level=L3 Hit, latency=38
pc=402942, @=140724825488616, src level=L1 Hit, latency=626
pc=402942, @=140724825488616, src level=L1 Hit, latency=221
pc=402942, @=140724825488616, src level=L1 Hit, latency=156
pc=402936, @=914841440, src level=LFB Hit, latency=59
pc=40293c, @=1158581984, src level=L3 Hit, latency=49
pc=40293c, @=1158464200, src level=L3 Hit, latency=41
pc=402942, @=140724825488616, src level=L1 Hit, latency=156
pc=402932, @=50338504, src level=LFB Hit, latency=212
pc=402942, @=140724825488616, src level=L1 Hit, latency=87
pc=402936, @=917085712, src level=LFB Hit, latency=226
pc=40293c, @=1159144496, src level=L3 Hit, latency=39
pc=40293c, @=1158759400, src level=L3 Hit, latency=64
pc=402942, @=140724825488616, src level=L1 Hit, latency=151
pc=402936, @=918605264, src level=LFB Hit, latency=90
pc=40293c, @=1158781960, src level=L3 Hit, latency=53
pc=40293c, @=1159008504, src level=Local RAM Hit, latency=36
pc=402942, @=140724825488616, src level=L1 Hit, latency=218
pc=40293c, @=1158574848, src level=L3 Hit, latency=63
pc=402942, @=140724825488616, src level=L1 Hit, latency=150
pc=40293c, @=1158742384, src level=L2 Hit, latency=41
pc=402942, @=140724825488616, src level=L1 Hit, latency=124
pc=402932, @=52993256, src level=L1 Hit, latency=81
pc=402942, @=140724825488616, src level=L1 Hit, latency=159
pc=402936, @=922430264, src level=LFB Hit, latency=51
pc=402942, @=140724825488616, src level=L1 Hit, latency=122
pc=40293c, @=1159386224, src level=L3 Hit, latency=56
pc=402936, @=923569176, src level=LFB Hit, latency=194
pc=402936, @=923946648, src level=LFB Hit, latency=88
pc=40293c, @=1158368888, src level=L3 Hit, latency=37
pc=402942, @=140724825488616, src level=L1 Hit, latency=136
pc=402936, @=925095816, src level=LFB Hit, latency=81
